s,k,res,s2,acc_mean,acc_std,n_runs
1,15,1.0,96,0.173838,0.0,10
2,15,1.0,96,0.158917,0.0,10
4,15,1.0,96,0.230396,0.0,10
8,15,1.0,96,0.343511,0.0,10
16,15,1.0,96,0.441013,0.0,10
32,15,1.0,96,0.565926,0.0,10
64,15,1.0,96,0.609646,0.0,10
128,15,1.0,96,0.692922,0.0,10
256,15,1.0,96,0.715128,0.0,10
512,15,1.0,96,0.729008,0.0,10
1024,15,1.0,96,0.768217,0.0,10
