s,k,res,s2,acc
64,30,0.9,5,0.305344
64,30,0.9,8,0.305344
64,30,0.9,16,0.305344
64,30,0.9,24,0.305344
64,30,0.9,32,0.305344
64,30,0.9,48,0.305344
64,30,0.9,64,0.305344
64,30,0.9,96,0.305344
64,30,0.9,128,0.305344
64,30,0.9,192,0.305344
64,30,0.9,256,0.305344
64,30,1.0,3,0.703678
64,30,1.0,5,0.6839
64,30,1.0,8,0.709924
64,30,1.0,16,0.716169
64,30,1.0,24,0.691187
64,30,1.0,32,0.674879
64,30,1.0,48,0.678695
64,30,1.0,64,0.570437
64,30,1.0,96,0.588133
64,30,1.0,128,0.510756
64,30,1.0,192,0.512144
64,30,1.0,256,0.543026
64,30,1.1,3,0.703678
64,30,1.1,5,0.6839
64,30,1.1,8,0.709924
64,30,1.1,16,0.716169
64,30,1.1,24,0.691187
64,30,1.1,32,0.674879
64,30,1.1,48,0.678695
64,30,1.1,64,0.570437
64,30,1.1,96,0.588133
64,30,1.1,128,0.510756
64,30,1.1,192,0.512144
64,30,1.1,256,0.543026
64,30,1.2,3,0.703678
64,30,1.2,5,0.6839
64,30,1.2,8,0.709924
64,30,1.2,16,0.716169
64,30,1.2,24,0.691187
64,30,1.2,32,0.674879
64,30,1.2,48,0.678695
64,30,1.2,64,0.570437
64,30,1.2,96,0.588133
64,30,1.2,128,0.510756
64,30,1.2,192,0.512144
64,30,1.2,256,0.543026
64,30,1.3,3,0.703678
64,30,1.3,5,0.6839
64,30,1.3,8,0.709924
64,30,1.3,16,0.716169
64,30,1.3,24,0.691187
64,30,1.3,32,0.674879
64,30,1.3,48,0.678695
64,30,1.3,64,0.570437
64,30,1.3,96,0.588133
64,30,1.3,128,0.510756
64,30,1.3,192,0.512144
64,30,1.3,256,0.543026
64,30,1.4,3,0.703678
64,30,1.4,5,0.6839
64,30,1.4,8,0.709924
64,30,1.4,16,0.716169
64,30,1.4,24,0.691187
64,30,1.4,32,0.674879
64,30,1.4,48,0.678695
64,30,1.4,64,0.570437
64,30,1.4,96,0.588133
64,30,1.4,128,0.510756
64,30,1.4,192,0.512144
64,30,1.4,256,0.543026
64,30,1.5,3,0.703678
64,30,1.5,5,0.6839
64,30,1.5,8,0.709924
64,30,1.5,16,0.716169
64,30,1.5,24,0.691187
64,30,1.5,32,0.674879
64,30,1.5,48,0.678695
64,30,1.5,64,0.570437
64,30,1.5,96,0.588133
64,30,1.5,128,0.510756
64,30,1.5,192,0.512144
64,30,1.5,256,0.543026
128,5,0.6,3,0.305344
128,5,0.6,5,0.305344
128,5,0.6,8,0.305344
